""	"x"
"1"	3
"2"	4
"3"	185
"4"	281
"5"	473
"6"	479
"7"	496
"8"	520
"9"	523
"10"	525
"11"	528
"12"	529
"13"	532
"14"	536
"15"	537
"16"	538
"17"	541
"18"	542
"19"	551
"20"	552
"21"	553
"22"	556
"23"	564
"24"	565
"25"	578
"26"	582
"27"	587
"28"	592
"29"	595
"30"	598
"31"	599
"32"	600
"33"	611
"34"	613
"35"	614
"36"	615
"37"	617
"38"	623
"39"	627
"40"	629
"41"	635
"42"	644
"43"	645
"44"	659
"45"	674
"46"	689
"47"	692
"48"	708
"49"	724
"50"	731
"51"	739
"52"	745
"53"	753
"54"	755
"55"	756
"56"	768
"57"	769
"58"	770
"59"	774
"60"	783
"61"	789
"62"	792
"63"	794
"64"	807
"65"	811
"66"	816
"67"	818
"68"	822
"69"	828
"70"	839
"71"	841
"72"	843
"73"	850
"74"	866
"75"	955
"76"	957
"77"	960
"78"	963
"79"	969
"80"	971
"81"	973
"82"	981
"83"	982
"84"	984
"85"	987
"86"	1003
"87"	1006
"88"	1014
"89"	1015
"90"	1029
"91"	1030
"92"	1032
"93"	1036
"94"	1037
"95"	1039
"96"	1040
"97"	1045
"98"	1047
"99"	1049
"100"	1051
"101"	1052
"102"	1058
"103"	1060
"104"	1067
"105"	1070
"106"	1074
"107"	1075
"108"	1078
"109"	1083
"110"	1090
"111"	1092
"112"	1093
"113"	1095
"114"	1108
"115"	1109
"116"	1224
"117"	1227
"118"	1235
"119"	1294
"120"	1339
"121"	1410
"122"	1434
"123"	1569
"124"	1579
"125"	1582
"126"	1584
"127"	1607
"128"	1609
"129"	1614
"130"	1656
"131"	1686
"132"	1688
"133"	1689
"134"	1692
"135"	1693
"136"	1694
"137"	1696
"138"	1697
"139"	1740
"140"	1741
"141"	1798
"142"	1800
"143"	1807
"144"	1808
"145"	1879
"146"	1884
"147"	1885
"148"	1904
"149"	1947
"150"	1948
"151"	1949
"152"	1950
"153"	1951
"154"	1952
"155"	1953
"156"	1954
"157"	1955
"158"	1956
"159"	1957
"160"	1959
"161"	1978
"162"	1979
"163"	1980
"164"	2015
"165"	2073
"166"	2141
"167"	2146
"168"	2172
"169"	2173
"170"	2174
"171"	2315
"172"	2423
"173"	2479
"174"	2489
"175"	2498
"176"	2532
"177"	2629
"178"	2631
"179"	2654
"180"	2727
"181"	2805
"182"	2807
"183"	2808
"184"	2809
